Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Names	Component-Of	Locations
arpB	b4494	1803094	1804993	putative ankyrin repeat protein B, N-terminal fragment	arpB // ydiW // ydiX // b1721 // b1720 // b4494 // ECK1718		
arrS	b4704	3657985	3658054	small regulatory RNA ArrS	arrS // b4704 // ECK4516		
arsB	b3502	3648935	3650224	arsenite/antimonite:H<sup>+</sup> antiporter	arsB // arsF // b3502 // ECK3487	arsenite/antimonite:H<sup>+</sup> antiporter	inner membrane
arsC	b3503	3650237	3650662	arsenate reductase	arsC // arsG // b3503 // ECK3488		cytosol
arsR	b3501	3648528	3648881	DNA-binding transcriptional repressor ArsR	arsR // arsE // b3501 // ECK3486	ArsR-antimonite // ArsR-arsenite // DNA-binding transcriptional repressor ArsR	cytosol
artI	b0863	902257	902988	putative ABC transporter periplasmic binding protein ArtI	artI // b0863 // ECK0854	putative ABC transporter ArtPQMI	inner membrane // periplasmic space
artJ	b0860	899844	900575	L-arginine ABC transporter periplasmic binding protein	artJ // b0860 // ECK0851	L-arginine ABC transporter	inner membrane // periplasmic space
artM	b0861	900866	901534	L-arginine ABC transporter membrane subunit ArtM	artM // b0861 // ECK0852	putative ABC transporter ArtPQMI // L-arginine ABC transporter	inner membrane
artP	b0864	903006	903734	L-arginine ABC transporter ATP binding subunit	artP // b0864 // ECK0855	putative ABC transporter ArtPQMI // L-arginine ABC transporter	inner membrane
artQ	b0862	901534	902250	L-arginine ABC transporter membrane subunit ArtQ	artQ // b0862 // ECK0853	putative ABC transporter ArtPQMI // L-arginine ABC transporter	inner membrane
ascB	b2716	2840990	2842414	6-phospho-&beta;-glucosidase AscB	ascB // sac // b2716 // ECK2711		cytosol
ascF	b2715	2839524	2840981	&beta;-glucoside specific PTS enzyme IIBC component	ascF // sac // b2715 // ECK2710	&beta;-glucoside specific PTS enzyme II	inner membrane
ascG	b2714	2838254	2839264	DNA-binding transcriptional repressor AscG	ascG // sac // b2714 // ECK2709		cytosol
asd	b3433	3573775	3574878	aspartate-semialdehyde dehydrogenase	asd // dap // hom // b3433 // ECK3419	aspartate-semialdehyde dehydrogenase	cytosol
aslA	b3801	3984352	3986007	putative sulfatase AslA	aslA // gppB // atsA // b3801 // ECK3794		periplasmic space
aslB	b3800	3982958	3984193	putative anaerobic sulfatase maturation enzyme AslB	aslB // gppB // atsB // b3800 // ECK3793		cytosol
asmA	b2064	2139759	2141612	putative assembly protein AsmA	asmA // yegA // b2064 // ECK2058		periplasmic space // inner membrane
asnA	b3744	3927155	3928147	asparagine synthetase A	asnA // b3744 // ECK3738	asparagine synthetase A	cytosol
asnB	b0674	697513	699177	asparagine synthetase B	asnB // b0674 // ECK0662	asparagine synthetase B	cytosol
asnC	b3743	3926545	3927003	DNA-binding transcriptional dual regulator AsnC	asnC // b3743 // ECK3737	DNA-binding transcriptional dual regulator AsnC	cytosol
asnS	b0930	987585	988985	asparagine&mdash;tRNA ligase	asnS // lcs // tss // b0930 // ECK0921	asparagine--tRNA ligase	cytosol
asnT	b1977	2044549	2044624	tRNA-Asn(GUU)	asnT // b1977 // ECK1973		cytosol
asnU	b1986	2059851	2059926	tRNA-Asn(GUU)	asnU // b1986 // ECK1981		cytosol
asnV	b1989	2062260	2062335	tRNA-Asn(GUU)	asnV // b1989 // ECK1984		cytosol
asnW	b1984	2058027	2058102	tRNA-Asn(GUU)	asnW // b1984 // ECK1979		cytosol
aspA	b4139	4366891	4368327	aspartate ammonia-lyase	aspA // b4139 // ECK4133	aspartate ammonia-lyase	cytosol // membrane
aspC	b0928	984519	985709	aspartate aminotransferase	aspC // b0928 // ECK0919	aspartate aminotransferase	cytosol
aspS	b1866	1948750	1950522	aspartate&mdash;tRNA ligase	aspS // tls // b1866 // ECK1867	aspartate--tRNA ligase	cytosol
aspT	b3760	3946872	3946948	tRNA-Asp(GUC)	aspT // tasC // b3760 // ECK3754		cytosol
aspU	b0206	228928	229004	tRNA-Asp(GUC)	aspU // b0206 // ECK0206		cytosol
aspV	b0216	236931	237007	tRNA-Asp(GUC)	aspV // b0216 // ECK0216		cytosol
asr	b1597	1671376	1671684	periplasmic chaperone Asr	asr // b1597 // ECK1592		periplasmic space
astA	b1747	1829731	1830765	arginine N-succinyltransferase	astA // ydjV // b1747 // ECK1745		cytosol
astB	b1745	1826916	1828259	<i>N</i>-succinylarginine dihydrolase	astB // ydjT // b1745 // ECK1743	<i>N</i>-succinylarginine dihydrolase	cytosol
astC	b1748	1830762	1831982	succinylornithine transaminase	astC // ydjW // argM // cstC // b1748 // ECK1746	succinylornithine transaminase	cytosol
astD	b1746	1828256	1829734	aldehyde dehydrogenase	astD // ydjU // b1746 // ECK1744		cytosol
astE	b1744	1825955	1826923	succinylglutamate desuccinylase	astE // ydjS // b1744 // ECK1742		cytosol
atoA	b2222	2324109	2324759	acetyl-CoA:acetoacetyl-CoA transferase subunit &beta;	atoA // b2222 // ECK2215	&beta; complex	cytosol
atoB	b2224	2326109	2327293	acetyl-CoA acetyltransferase	atoB // b2224 // ECK2217	acetyl-CoA acetyltransferase	cytosol
atoC	b2220	2321866	2323251	DNA-binding transcriptional activator AtoC-phosphorylated // DNA-binding transcriptional activator/ornithine decarboxylase inhibitor AtoC	atoC // b2220 // ECK2213		cytosol
atoD	b2221	2323447	2324109	acetyl-CoA:acetoacetyl-CoA transferase subunit &alpha;	atoD // b2221 // ECK2214	&alpha; complex	cytosol
atoE	b2223	2324756	2326078	short chain fatty acid transporter	atoE // b2223 // ECK2216		inner membrane
atoS	b2219	2320043	2321869	sensor histidine kinase AtoS	atoS // b2219 // ECK2212	sensor histidine kinase AtoS	inner membrane
atpA	b3734	3918316	3919857	ATP synthase F<sub>1</sub> complex subunit &alpha;	atpA // papA // uncA // b3734 // ECK3727	ATP synthase F<sub>1</sub> complex subunit &alpha;	inner membrane
atpB	b3738	3921236	3922051	ATP synthase F<sub>o</sub> complex subunit a	atpB // papD // uncB // b3738 // ECK3731	ATP synthase F<sub>o</sub> complex	inner membrane
atpC	b3731	3915553	3915972	ATP synthase F<sub>1</sub> complex subunit &epsilon;	atpC // papG // uncC // b3731 // ECK3724	ATP synthase F<sub>1</sub> complex	inner membrane
atpD	b3732	3915993	3917375	ATP synthase F<sub>1</sub> complex subunit &beta;	atpD // papB // uncD // b3732 // ECK3725	ATP synthase F<sub>1</sub> complex subunit &beta;	inner membrane
atpE	b3737	3920950	3921189	ATP synthase F<sub>o</sub> complex subunit c	atpE // papH // uncE // b3737 // ECK3730	ATP synthase F<sub>o</sub> complex - subunit c	inner membrane
atpF	b3736	3920418	3920888	ATP synthase F<sub>o</sub> complex subunit b	atpF // papF // uncF // b3736 // ECK3729	ATP synthase F<sub>o</sub> complex - subunit b	inner membrane
atpG	b3733	3917402	3918265	ATP synthase F<sub>1</sub> complex subunit &gamma;	atpG // papC // uncG // b3733 // ECK3726	ATP synthase F<sub>1</sub> complex	inner membrane
atpH	b3735	3919870	3920403	ATP synthase F<sub>1</sub> complex subunit &delta;	atpH // papE // uncH // b3735 // ECK3728	ATP synthase F<sub>1</sub> complex	inner membrane
atpI	b3739	3922060	3922440	ATP synthase accessory factor AtpI	atpI // uncI // b3739 // ECK3732		inner membrane
avtA	b3572	3739705	3740958	valine&mdash;pyruvate aminotransferase	avtA // b3572 // ECK3561		cytosol
azoR	b1412	1482255	1482860	FMN dependent NADH:quinone oxidoreductase	azoR // acpD // b1412 // ECK1405	FMN dependent NADH:quinone oxidoreductase	cytosol
azuC	b4663	1987873	1987959	small regulatory membrane protein AzuC	azuC // b4663 // ECK4478		inner membrane
b0017	b0017	15869	16177		yi82_1 // b0017		
b0100	b0100	111564	111698		b0100 // b0100		
b0105	b0105	114407	114514		b0105 // b0105		
b0165	b0165	184987	185118		b0165 // b0165		
b0309	b0309	324408	324620		b0309 // b0309		
b0538	b0538	565972	566532		b0538		
b0609	b0609	643407	643868		b0609		
b0701	b0701	733370	733591		rhsC // b0701		
b0725	b0725	758464	758724		b0725 // b0725		
b1052	b1052	1114211	1114309		b1052 // b1052		
b1354	b1354	1419168	1419344		b1354		
b1364	b1364	1425178	1425459		b1364 // b1364		
b1367	b1367	1426055	1426288		b1367		
b1425	b1425	1498432	1498635		b1425		
b1437	b1437	1509250	1509447		b1437		
b1903	b1903	1987444	1987782		b1903		
b2084	b2084	2167735	2168001		b2084		
b2191	b2191	2288905	2289027		b2191 // b2191		
b2596	b2596	2736913	2737119		b2596		
b2651	b2651	2785221	2785352		b2651 // b2651		
b2653	b2653	2785800	2785973		b2653		
b3004	b3004	3150722	3150967		b3004		
b3007	b3007	3151977	3152132		b3007		
b3254	b3254	3404516	3404617		b3254 // b3254		
b3975	b3975	4175213	4175368		b3975		
b4247	b4247	4472513	4472845		b4247		
b4250	b4250	4474227	4474391		b4250		
bacA	b3057	3203310	3204131	undecaprenyl pyrophosphate phosphatase	bacA // uppP // b3057 // ECK3047		inner membrane
baeR	b2079	2164276	2164998	DNA-binding transcriptional activator BaeR-phosphorylated // DNA-binding transcriptional activator BaeR	baeR // b2079 // ECK2075		cytosol
baeS	b2078	2162876	2164279	BaeS-<i>N</i>-phospho-L-histidine // sensor histidine kinase BaeS	baeS // b2078 // ECK2074		inner membrane
bamA	b0177	197928	200360	outer membrane protein assembly factor BamA	bamA // yzzY // yzzN // ecfK // yaeT // b0177 // ECK0176	Outer Membrane Protein Assembly Complex	outer membrane
bamB	b2512	2637474	2638652	outer membrane protein assembly factor BamB	bamB // yfgL // b2512 // ECK2508	Outer Membrane Protein Assembly Complex	outer membrane
bamC	b2477	2597831	2598865	outer membrane protein assembly factor BamC	bamC // dapX // nlpB // b2477 // ECK2473	Outer Membrane Protein Assembly Complex	outer membrane
bamD	b2595	2736146	2736883	outer membrane protein assembly factor BamD	bamD // ecfD // yfiO // b2595 // ECK2593	Outer Membrane Protein Assembly Complex	outer membrane
bamE	b2617	2753605	2753946	outer membrane protein assembly factor BamE	bamE // smpA // smqA // b2617 // ECK2613	Outer Membrane Protein Assembly Complex	outer membrane
barA	b2786	2915057	2917813	BarA-<i>N</i>-phospho-L-histidine-861 // BarA-<i>N</i>-phospho-L-histidine-302 // BarA-phospho-L-aspartate-718 // sensor histidine kinase BarA	barA // airS // b2786 // ECK2780	sensor histidine kinase BarA	inner membrane
basR	b4113	4333282	4333950	DNA-binding transcriptional dual regulator BasR-phosphorylated // DNA-binding transcriptional dual regulator BasR	basR // pmrA // b4113 // ECK4106		cytosol
basS	b4112	4332181	4333272	BasS-<i>N</i>-phospho-L-histidine // sensor histidine kinase BasS	basS // pmrB // dgkR // b4112 // ECK4105		inner membrane
bax	b3570	3736353	3737177	putative glycoside hydrolase Bax	bax // b3570 // ECK3559		
baxL	b4794	3737177	3737203	putative translational regulatory protein BaxL	baxL // b4794 // ECK4651		
bcp	b2480	2600478	2600948	thiol peroxidase	bcp // b2480 // ECK2476		cytosol
bcr	b2182	2278570	2279760	multidrug efflux pump Bcr	bcr // bicA // bicR // sur // suxA // b2182 // ECK2176		inner membrane
bcsA	b3533	3692618	3695236	cellulose synthase catalytic subunit	bcsA // yhjP // yhjO // b3533 // ECK3518	cellulose synthase	inner membrane
bcsB	b3532	3690268	3692607	cellulose synthase periplasmic subunit	bcsB // yhjN // b3532 // ECK3517	cellulose synthase	inner membrane
bcsC	b3530	3685700	3689173	cellulose synthase outer membrane channel	bcsC // yhjL // b3530 // ECK3515		outer membrane
bcsE	b3536	3696458	3698029	c-di-GMP-binding protein BcsE	bcsE // yhjS // b3536 // ECK3521		
bcsF	b3537	3698026	3698217	putative cellulose biosynthesis protein BcsF	bcsF // yhjT // b3537 // ECK3522		inner membrane
bcsG	b3538	3698214	3699893	cellulose phosphoethanolamine transferase	bcsG // yhjU // b3538 // ECK3523		inner membrane
bcsQ	b3534	3695233	3695985	cellulose biosynthesis protein	bcsQ // yhjQ // b3534 // ECK3519		cytosol // inner membrane
bcsZ	b3531	3689155	3690261	endo-1,4-D-glucanase	bcsZ // bcsC // yhjM // b3531 // ECK3516		extracellular space
bdcA	b4249	4473340	4474053	c-di-GMP-binding biofilm dispersal mediator protein	bdcA // yjgI // b4249 // ECK4243	c-di-GMP-binding biofilm dispersal mediator protein	cytosol
bdcR	b4251	4474124	4474717	putative transcriptional regulator BdcR	bdcR // yjgJ // b4251 // ECK4244		cytosol
bdm	b1481	1556065	1556280	biofilm-dependent modulation protein	bdm // yddX // b1481 // ECK1475		
beeE	b1151	1205731	1206204	e14 prophage; protein BeeE	beeE // ymfO // b1151 // ECK1137		
bepA	b2494	2616094	2617557	&beta;-barrel assembly-enhancing protease	bepA // yfgC // b2494 // ECK2490		periplasmic space // membrane
betA	b0311	325577	327247	choline dehydrogenase	betA // b0311 // ECK0309		inner membrane // cytosol
betB	b0312	327261	328733	betaine aldehyde dehydrogenase	betB // b0312 // ECK0310	betaine aldehyde dehydrogenase	cytosol
betI	b0313	328747	329334	DNA-binding transcriptional repressor BetI	betI // b0313 // ECK0311	BetI-choline	cytosol
betT	b0314	329463	331496	choline:H+ symporter	betT // b0314 // ECK0312		inner membrane
bfd	b3337	3466797	3466991	bacterioferritin-associated ferredoxin	bfd // yheA // b3337 // ECK3324		cytosol
bfr	b3336	3466249	3466725	bacterioferritin	bfr // b3336 // ECK3323	bacterioferritin	cytosol // membrane
bglA	b2901	3043662	3045101	6-phospho-&beta;-glucosidase A	bglA // yqfC // bglD // b2901 // ECK2896		cytosol
bglB	b3721	3902289	3903701	6-phospho-&beta;-glucosidase B	bglB // blgA // b3721 // ECK3714		cytosol
bglF	b3722	3903720	3905597	&beta;-glucoside specific PTS enzyme II / BglG kinase / BglG phosphatase	bglF // bglS // b3722 // ECK3715	&beta;-glucoside specific PTS enzyme II / BglG kinase / BglG phosphatase	inner membrane
bglG	b3723	3905731	3906567	transcriptional antiterminator BglG	bglG // bglC // b3723 // ECK3716	transcriptional antiterminator BglG	cytosol
bglH	b3720	3900604	3902220	carbohydrate-specific outer membrane porin, cryptic	bglH // yieC // b3720 // ECK3713		outer membrane
bglJ	b4366	4604160	4604837	DNA-binding transcriptional regulator BglJ	bglJ // yjjR // b4366 // ECK4356	RcsB-BglJ DNA-binding transcriptional activator	cytosol
bglX	b2132	2219692	2221989	&beta;-D-glucoside glucohydrolase, periplasmic	bglX // glh // yohA // b2132 // ECK2125		periplasmic space
bhsA	b1112	1169073	1169330	DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA	bhsA // ycfR // comC // b1112 // ECK1098		outer membrane
bioA	b0774	807968	809257	adenosylmethionine-8-amino-7-oxononanoate aminotransferase	bioA // b0774 // ECK0763	adenosylmethionine-8-amino-7-oxononanoate aminotransferase	cytosol
bioB	b0775	809344	810384	biotin synthase	bioB // b0775 // ECK0764	biotin synthase	cytosol
bioC	b0777	811522	812277	malonyl-acyl carrier protein methyltransferase	bioC // b0777 // ECK0766		cytosol
bioD	b0778	812270	812947	dethiobiotin synthetase	bioD // b0778 // ECK0767	dethiobiotin synthetase	cytosol
bioF	b0776	810381	811535	8-amino-7-oxononanoate synthase	bioF // b0776 // ECK0765	8-amino-7-oxononanoate synthase	cytosol
bioH	b3412	3544074	3544844	pimeloyl-acyl carrier protein methyl ester esterase	bioH // bioB // b3412 // ECK3399		cytosol
bioP	b3827	4011076	4011975	biotin transporter	bioP // yigM // b3827 // ECK3821		inner membrane
bipA	b3871	4058407	4060230	50S ribosomal subunit assembly factor BipA	bipA // typA // yihK // b3871 // ECK3864		cytosol
birA	b3973	4173082	4174047	DNA-binding transcriptional repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA	birA // bioR // dhbB // b3973 // ECK3965	BirA-biotinyl-5'-adenylate DNA-binding transcriptional repressor / biotin-[acetyl-CoA-carboxylase] ligase	cytosol
bisC	b3551	3714061	3716394	biotin sulfoxide reductase	bisC // b3551 // ECK3538		periplasmic space // cytosol
blc	b4149	4377189	4377722	outer membrane lipoprotein Blc	blc // yjeL // b4149 // ECK4145		cytosol // outer membrane
blr	b4409	1704551	1704676	&beta;-lactam resistance protein	blr // b4409 // ECK1620		inner membrane
bluF	b1163	1214264	1215475	blue light- and temperature-regulated antirepressor BluF	bluF // ycgF // b1163 // ECK1150		inner membrane
bluR	b1162	1213328	1214059	DNA-binding transcriptional repressor BluR	bluR // ycgE // b1162 // ECK1149		cytosol
bolA	b0435	454472	454789	DNA binding transcriptional dual regulator BolA-phosphorylated // DNA-binding transcriptional dual regulator BolA	bolA // b0435 // ECK0429	Grx4-BolA complex	cytosol
borD	b0557	578600	578893	DLP12 prophage; prophage lipoprotein BorD	borD // iss // vboR // bor // ybcU // b0557 // ECK0549		inner membrane
brnQ	b0401	419591	420910	branched chain amino acid transporter BrnQ	brnQ // hrbA // b0401 // ECK0395		inner membrane
bsmA	b4189	4416441	4416770	DUF1471 domain-containing putative lipoprotein BsmA	bsmA // yjfO // b4189 // ECK4185		inner membrane // periplasmic space
bssR	b0836	878248	878631	regulator of biofilm formation	bssR // yliH // b0836 // ECK0826		cytosol
bssS	b1060	1120701	1120955	regulator of biofilm formation	bssS // yceP // b1060 // ECK1045		
btsR	b2125	2212243	2212962	Phosphorylated DNA-binding transcriptional dual regulator BtsR // DNA-binding transcriptional dual regulator BtsR	btsR // yehT // b2125 // ECK2117		cytosol
btsS	b2126	2212959	2214644	BtsS-<i>N</i>-phospho-L-histidine // high-affinity pyruvate receptor	btsS // yehU // b2126 // ECK2118		inner membrane
btsT	b4354	4589129	4591279	pyruvate:H<sup>+</sup> symporter	btsT // yjiY // b4354 // ECK4344		inner membrane
btuB	b3966	4163639	4165483	cobalamin outer membrane transporter	btuB // bfe // cer // b3966 // ECK3958	cobalamin outer membrane transport complex	outer membrane
btuC	b1711	1794172	1795152	vitamin B<sub>12</sub> ABC transporter membrane subunit	btuC // b1711 // ECK1709	vitamin B<sub>12</sub> ABC transporter	inner membrane
btuD	b1709	1792809	1793558	vitamin B<sub>12</sub> ABC transporter ATP binding subunit	btuD // b1709 // ECK1707	vitamin B<sub>12</sub> ABC transporter	inner membrane
btuE	b1710	1793558	1794109	thioredoxin/glutathione peroxidase BtuE	btuE // b1710 // ECK1708		periplasmic space
btuF	b0158	177662	178462	vitamin B<sub>12</sub> ABC transporter periplasmic binding protein	btuF // yadT // b0158 // ECK0157	vitamin B<sub>12</sub> ABC transporter	inner membrane // periplasmic space
btuR	b1270	1327767	1328357	cobinamide/cobalamin adenosyltransferase	btuR // cobA // b1270 // ECK1264		cytosol
C0067		238462	238586		C0067		
C0293	b4806	1196711	1196782	e14 prophage; small regulatory RNA C0293	C0293 // b4806 // ECK4663		
C0299		1230629	1230707		C0299		
C0362		1552001	1552386		C0362		
C0465		1972739	1972816		C0465		
C0614		2653452	2653538		C0614		
C0664		2835055	2835167		C0664		
C0719		3121358	3121579		C0719		
cadA	b4131	4356470	4358617	lysine decarboxylase 1	cadA // ldcI // b4131 // ECK4125	lysine decarboxylase 1	cytosol
cadB	b4132	4358697	4360031	lysine:cadaverine antiporter	cadB // b4132 // ECK4126		inner membrane
cadC	b4133	4360396	4361934	DNA-binding transcriptional activator CadC	cadC // b4133 // ECK4127		cytosol // inner membrane
caiA	b0039	39244	40386	crotonobetainyl-CoA reductase	caiA // yaaO // b0039 // ECK0040		cytosol
caiB	b0038	37898	39115	&gamma;-butyrobetainyl-CoA:carnitine CoA transferase	caiB // yaaN // b0038 // ECK0039	gamma-butyrobetainyl-CoA:carnitine CoA transferase	cytosol
caiC	b0037	36271	37824	carnitine&mdash;CoA ligase	caiC // yaaM // b0037 // ECK0038		cytosol
caiD	b0036	35377	36162	crotonobetainyl-CoA hydratase	caiD // yaaL // b0036 // ECK0037		cytosol
caiE	b0035	34781	35371	putative transferase CaiE	caiE // b0035 // ECK0036		cytosol
caiF	b0034	34300	34695	DNA-binding transcriptional activator CaiF	caiF // b0034 // ECK0035	DNA-binding transcriptional activator CaiF	cytosol
caiT	b0040	40417	41931	L-carnitine:&gamma;-butyrobetaine antiporter	caiT // yaaP // b0040 // ECK0041	L-carnitine:gamma-butyrobetaine antiporter	inner membrane
can	b0126	142008	142670	carbonic anhydrase 2	can // yadF // b0126 // ECK0125	carbonic anhydrase 2	cytosol
